[2026-05-12 20:46:01,967] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34538.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:02,942] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34594.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:03,966] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34594.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:04,990] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34594.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:05,965] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34650.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:06,989] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34650.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:07,963] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34650.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:08,987] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34707.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:10,012] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34707.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:10,986] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34707.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:12,010] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34820.0 Ω | Previsão Nicla: fresca
