[2026-05-12 20:59:52,547] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:53,571] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30644.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:54,595] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30644.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:55,570] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30644.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:56,593] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:57,569] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:58,592] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:59,616] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31045.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:00,591] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31045.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:01,615] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31045.0 Ω | Previsão Nicla: fresca
